Country Name,Country Code,Year,GDP,GDP_per_capita
United Kingdom,GBR,1994,1.14E+12,19709
India,IND,1994,3.27E+11,346
Japan,JPN,1994,5.00E+12,39934
Russian Federation,RUS,1994,3.95E+11,2662
United States,USA,1994,7.29E+12,27695
Australia,AUS,1995,3.68E+11,20358
China,CHN,1995,7.35E+11,610
United Kingdom,GBR,1995,1.35E+12,23207
India,IND,1995,3.60E+11,374
Japan,JPN,1995,5.55E+12,44198
Russian Federation,RUS,1995,3.96E+11,2666
United States,USA,1995,7.64E+12,28691
Australia,AUS,1996,4.01E+11,21904
China,CHN,1996,8.64E+11,709
United Kingdom,GBR,1996,1.42E+12,24439
India,IND,1996,3.93E+11,400
Japan,JPN,1996,4.92E+12,39150
Russian Federation,RUS,1996,3.92E+11,2644
United States,USA,1996,8.07E+12,29968
Australia,AUS,1997,4.35E+11,23509
China,CHN,1997,9.62E+11,782
United Kingdom,GBR,1997,1.56E+12,26743
India,IND,1997,4.16E+11,415
Japan,JPN,1997,4.49E+12,35638
Russian Federation,RUS,1997,4.05E+11,2738
United States,USA,1997,8.58E+12,31459
Australia,AUS,1998,3.99E+11,21346
China,CHN,1998,1.03E+12,829
United Kingdom,GBR,1998,1.65E+12,28269
India,IND,1998,4.21E+11,413
Japan,JPN,1998,4.10E+12,32424
Russian Federation,RUS,1998,2.71E+11,1835
United States,USA,1998,9.06E+12,32854
Australia,AUS,1999,3.89E+11,20559
China,CHN,1999,1.09E+12,873
United Kingdom,GBR,1999,1.69E+12,28727
India,IND,1999,4.59E+11,442
Japan,JPN,1999,4.64E+12,36610
Russian Federation,RUS,1999,1.96E+11,1331
United States,USA,1999,9.63E+12,34515
Australia,AUS,2000,4.16E+11,21698
China,CHN,2000,1.21E+12,959
United Kingdom,GBR,2000,1.66E+12,28223
India,IND,2000,4.68E+11,443
Japan,JPN,2000,4.97E+12,39169
Russian Federation,RUS,2000,2.60E+11,1772
United States,USA,2000,1.03E+13,36330
Australia,AUS,2001,3.79E+11,19527
China,CHN,2001,1.34E+12,1053
United Kingdom,GBR,2001,1.64E+12,27806
India,IND,2001,4.85E+11,452
Japan,JPN,2001,4.37E+12,34406
Russian Federation,RUS,2001,3.07E+11,2100
United States,USA,2001,1.06E+13,37134
Australia,AUS,2002,3.95E+11,20118
China,CHN,2002,1.47E+12,1149
United Kingdom,GBR,2002,1.78E+12,30050
India,IND,2002,5.15E+11,471
Japan,JPN,2002,4.18E+12,32821
Russian Federation,RUS,2002,3.45E+11,2378
United States,USA,2002,1.09E+13,37998
Australia,AUS,2003,4.67E+11,23492
China,CHN,2003,1.66E+12,1289
United Kingdom,GBR,2003,2.06E+12,34487
India,IND,2003,6.08E+11,547
Japan,JPN,2003,4.52E+12,35387
Russian Federation,RUS,2003,4.30E+11,2975
United States,USA,2003,1.15E+13,39490
Australia,AUS,2004,6.14E+11,30514
China,CHN,2004,1.96E+12,1509
United Kingdom,GBR,2004,2.42E+12,40372
India,IND,2004,7.09E+11,628
Japan,JPN,2004,4.89E+12,38299
Russian Federation,RUS,2004,5.91E+11,4102
United States,USA,2004,1.22E+13,41725
Australia,AUS,2005,6.95E+11,34081
China,CHN,2005,2.29E+12,1753
United Kingdom,GBR,2005,2.54E+12,42132
India,IND,2005,8.20E+11,715
Japan,JPN,2005,4.83E+12,37813
Russian Federation,RUS,2005,7.64E+11,5323
United States,USA,2005,1.30E+13,44123
Australia,AUS,2006,7.48E+11,36117
China,CHN,2006,2.75E+12,2099
United Kingdom,GBR,2006,2.72E+12,44654
India,IND,2006,9.40E+11,807
Japan,JPN,2006,4.60E+12,35992
Russian Federation,RUS,2006,9.90E+11,6920
United States,USA,2006,1.38E+13,46302
Australia,AUS,2007,8.54E+11,41001
China,CHN,2007,3.55E+12,2694
United Kingdom,GBR,2007,3.11E+12,50653
India,IND,2007,1.22E+12,1028
Japan,JPN,2007,4.58E+12,35779
Russian Federation,RUS,2007,1.30E+12,9101
United States,USA,2007,1.45E+13,48050
Australia,AUS,2008,1.06E+12,49655
China,CHN,2008,4.59E+12,3468
United Kingdom,GBR,2008,2.94E+12,47549
India,IND,2008,1.20E+12,999
Japan,JPN,2008,5.11E+12,39876
Russian Federation,RUS,2008,1.66E+12,11635
United States,USA,2008,1.48E+13,48570
Australia,AUS,2009,9.28E+11,42783
China,CHN,2009,5.10E+12,3832
United Kingdom,GBR,2009,2.43E+12,38952
India,IND,2009,1.34E+12,1102
Japan,JPN,2009,5.29E+12,41309
Russian Federation,RUS,2009,1.22E+12,8563
United States,USA,2009,1.45E+13,47195
Australia,AUS,2010,1.15E+12,52088
China,CHN,2010,6.09E+12,4550
United Kingdom,GBR,2010,2.49E+12,39689
India,IND,2010,1.68E+12,1358
Japan,JPN,2010,5.76E+12,44968
Russian Federation,RUS,2010,1.52E+12,10675
United States,USA,2010,1.50E+13,48651
Australia,AUS,2011,1.40E+12,62574
China,CHN,2011,7.55E+12,5614
United Kingdom,GBR,2011,2.67E+12,42285
India,IND,2011,1.82E+12,1458
Japan,JPN,2011,6.23E+12,48760
Russian Federation,RUS,2011,2.05E+12,14311
United States,USA,2011,1.56E+13,50066
Australia,AUS,2012,1.55E+12,68028
China,CHN,2012,8.53E+12,6301
United Kingdom,GBR,2012,2.72E+12,42687
India,IND,2012,1.83E+12,1444
Japan,JPN,2012,6.27E+12,49145
Russian Federation,RUS,2012,2.21E+12,15421
United States,USA,2012,1.63E+13,51784
Australia,AUS,2013,1.58E+12,68157
China,CHN,2013,9.57E+12,7020
United Kingdom,GBR,2013,2.80E+12,43714
India,IND,2013,1.86E+12,1450
Japan,JPN,2013,5.21E+12,40899
Russian Federation,RUS,2013,2.29E+12,15975
United States,USA,2013,1.68E+13,53291
Australia,AUS,2014,1.47E+12,62512
China,CHN,2014,1.05E+13,7636
United Kingdom,GBR,2014,3.09E+12,47787
India,IND,2014,2.04E+12,1574
Japan,JPN,2014,4.90E+12,38475
Russian Federation,RUS,2014,2.06E+12,14096
United States,USA,2014,1.76E+13,55124
Australia,AUS,2015,1.35E+12,56707
China,CHN,2015,1.11E+13,8016
United Kingdom,GBR,2015,2.96E+12,45405
India,IND,2015,2.10E+12,1606
Japan,JPN,2015,4.44E+12,34961
Russian Federation,RUS,2015,1.36E+12,9313
United States,USA,2015,1.82E+13,56763
Australia,AUS,2016,1.21E+12,49882
China,CHN,2016,1.12E+13,8094
United Kingdom,GBR,2016,2.72E+12,41500
India,IND,2016,2.29E+12,1733
Japan,JPN,2016,5.00E+12,39375
Russian Federation,RUS,2016,1.28E+12,8705
United States,USA,2016,1.87E+13,57867
Australia,AUS,2017,1.33E+12,53934
China,CHN,2017,1.23E+13,8817
United Kingdom,GBR,2017,2.70E+12,40858
India,IND,2017,2.65E+12,1981
Japan,JPN,2017,4.93E+12,38834
Russian Federation,RUS,2017,1.57E+12,10720
United States,USA,2017,1.95E+13,59915
Australia,AUS,2018,1.43E+12,57181
China,CHN,2018,1.39E+13,9905
United Kingdom,GBR,2018,2.90E+12,43647
India,IND,2018,2.70E+12,1998
Japan,JPN,2018,5.04E+12,39727
Russian Federation,RUS,2018,1.66E+12,11287
United States,USA,2018,2.05E+13,62805
Australia,AUS,2019,1.39E+12,54875
China,CHN,2019,1.43E+13,10144
United Kingdom,GBR,2019,2.88E+12,43070
India,IND,2019,2.83E+12,2072
Japan,JPN,2019,5.12E+12,40458
Russian Federation,RUS,2019,1.69E+12,11536
United States,USA,2019,2.14E+13,65095
Australia,AUS,2020,1.33E+12,51680
China,CHN,2020,1.47E+13,10409
United Kingdom,GBR,2020,2.76E+12,41098
India,IND,2020,2.67E+12,1933
Japan,JPN,2020,5.04E+12,39918
Russian Federation,RUS,2020,1.49E+12,10162
United States,USA,2020,2.09E+13,63028
Australia,AUS,2021,1.54E+12,59934
China,CHN,2021,1.77E+13,12556
United Kingdom,GBR,2021,3.19E+12,47334
India,IND,2021,3.17E+12,2277
Japan,JPN,2021,4.94E+12,39285
Russian Federation,RUS,2021,1.78E+12,12173
United States,USA,2021,2.30E+13,69288
